Wcap,Wgen,Wpeq,Wneq,Wage,Wspec_minor,Wspec_major,Wspec_mismatch,Wfair_low,Wfair_med,Wfair_high,Wmove,total_cost,fairness_std,gini,jain,num_patients,total_rooms,status
0,4,7,0,0,0,0,0,0,2,0,0,14203,0,0,0,1400,105,feasible
0,4,7,0,0,0,0,0,0,3,0,0,14211,0.071428571,0,0,1400,105,feasible
0,4,7,0,0,0,0,0,0,5,0,0,14931,6.5,0,0,1400,105,feasible
0,6,3,0,0,0,0,0,0,2,0,0,6087,0,0,0,1400,105,feasible
0,6,3,0,0,0,0,0,0,3,0,0,6099,0.071428571,0,0,1400,105,feasible
0,6,3,0,0,0,0,0,0,5,0,0,6087,0,0,0,1400,105,feasible
0,6,5,0,0,0,0,0,0,2,0,0,10145,0,0,0,1400,105,feasible
0,6,5,0,0,0,0,0,0,3,0,0,10145,0,0,0,1400,105,feasible
0,6,5,0,0,0,0,0,0,5,0,0,10151,0.035714286,0,0,1400,105,feasible
0,6,7,0,0,0,0,0,0,2,0,0,14203,0,0,0,1400,105,feasible
0,6,7,0,0,0,0,0,0,3,0,0,14209,0.035714286,0,0,1400,105,feasible
0,6,7,0,0,0,0,0,0,5,0,0,14221,0.107142857,0,0,1400,105,feasible
2,0,0,0,0,1,0,0,0,0,0,0,4929,87.92857143,0,0,1400,105,feasible
2,0,0,0,0,1,0,0,1,0,0,0,4926,87.78571429,0,0,1400,105,feasible
2,0,0,0,0,1,0,0,2,0,0,0,4930,88,0,0,1400,105,feasible
2,0,0,0,0,2,0,0,0,0,0,0,4922,87.82142857,0,0,1400,105,feasible
2,0,0,0,0,2,0,0,1,0,0,0,4926,87.89285714,0,0,1400,105,feasible
2,0,0,0,0,2,0,0,2,0,0,0,4926,87.82142857,0,0,1400,105,feasible
2,0,0,0,0,3,0,0,0,0,0,0,4918,87.82142857,0,0,1400,105,feasible
2,0,0,0,0,3,0,0,1,0,0,0,4918,87.82142857,0,0,1400,105,feasible
2,0,0,0,0,3,0,0,2,0,0,0,4918,87.82142857,0,0,1400,105,feasible
3,0,0,0,0,1,0,0,0,0,0,0,7373,87.85714286,0,0,1400,105,feasible
3,0,0,0,0,1,0,0,1,0,0,0,7375,87.89285714,0,0,1400,105,feasible
3,0,0,0,0,1,0,0,2,0,0,0,7374,87.82142857,0,0,1400,105,feasible
3,0,0,0,0,2,0,0,0,0,0,0,7377,87.75,0,0,1400,105,feasible
3,0,0,0,0,2,0,0,1,0,0,0,7376,87.71428571,0,0,1400,105,feasible
3,0,0,0,0,2,0,0,2,0,0,0,7375,87.60714286,0,0,1400,105,feasible
3,0,0,0,0,3,0,0,0,0,0,0,7359,87.53571429,0,0,1400,105,feasible
3,0,0,0,0,3,0,0,1,0,0,0,7359,87.57142857,0,0,1400,105,feasible
3,0,0,0,0,3,0,0,2,0,0,0,7359,87.60714286,0,0,1400,105,feasible
5,0,0,0,0,1,0,0,0,0,0,0,12275,87.89285714,0,0,1400,105,feasible
5,0,0,0,0,1,0,0,1,0,0,0,12272,88,0,0,1400,105,feasible
5,0,0,0,0,1,0,0,2,0,0,0,12279,88.21428571,0,0,1400,105,feasible
5,0,0,0,0,2,0,0,0,0,0,0,12277,87.82142857,0,0,1400,105,feasible
5,0,0,0,0,2,0,0,1,0,0,0,12281,87.85714286,0,0,1400,105,feasible
5,0,0,0,0,2,0,0,2,0,0,0,12279,87.71428571,0,0,1400,105,feasible
5,0,0,0,0,3,0,0,0,0,0,0,12258,87.57142857,0,0,1400,105,feasible
5,0,0,0,0,3,0,0,1,0,0,0,12258,87.57142857,0,0,1400,105,feasible
5,0,0,0,0,3,0,0,2,0,0,0,12258,87.57142857,0,0,1400,105,feasible
